product_id,name,description,price,category,popularity,stock,subcategory,brand,average_rating,product_rating,customer_rating,holiday_item,season,geographic_origin,similar_products,probability
P001,Wireless Headphones,High-quality wireless headphones with noise cancellation,99.99,Electronics,0.85,50,Electronics,Brand A,4.5,3.5,0.8,No,Summer,USA,"['Headphones', 'Smartphone']",0.91
P002,Running Shoes,Lightweight running shoes with cushioned soles,79.99,Sports,0.72,30,Sports,Brand B,4.2,2.3,0.26,No,Summer,Canada,"['Shoes', 'Running']",0.91
P003,Coffee Maker,Programmable coffee maker with thermal carafe,49.99,Home,0.68,25,Home,Brand C,4.7,2.1,0.21,Yes,Winter,India,"['Coffee', 'Kitchen']",0.26
P004,Smart Watch,Fitness tracker with heart rate monitor,129.99,Electronics,0.91,40,Electronics,Brand D,4.2,2.4,0.74,Yes,Spring,Canada,"['Smartphone', 'Fitness']",0.60
P005,Yoga Mat,Non-slip yoga mat with carrying strap,29.99,Sports,0.65,60,Sports,Brand E,4.7,2.5,0.68,No,Winter,Canada,"['Yoga', 'Sports']",0.70
P006,Blender,High-speed blender for smoothies and more,69.99,Home,0.58,20,Home,Brand F,4.2,2.6,0.64,No,Summer,Germany,"['Kitchen', 'Smoothies']",0.79
P007,Laptop Backpack,Water-resistant laptop backpack with USB charging port,59.99,Accessories,0.63,45,Accessories,Brand G,4.2,3.8,0.39,Yes,Summer,USA,"['Backpack', 'Laptop']",0.92
P008,Gaming Mouse,RGB gaming mouse with programmable buttons,49.99,Electronics,0.77,35,Electronics,Brand H,4.7,2.1,0.21,Yes,Winter,India,"['Mouse', 'Gaming']",0.26
P009,Desk Lamp,LED desk lamp with adjustable brightness,39.99,Home,0.54,30,Home,Brand I,4.2,4.2,0.83,No,Winter,Germany,"['Lamp', 'Home']",0.36
P010,Water Bottle,Insulated water bottle that keeps drinks cold for 24 hours,24.99,Sports,0.70,55,Sports,Brand J,4.7,2.5,0.68,No,Winter,Canada,"['Water', 'Sports']",0.70
P011,Wireless Charger,Fast wireless charging pad for smartphones,34.99,Electronics,0.82,40,Electronics,Brand K,4.2,2.4,0.74,Yes,Spring,Canada,"['Charger', 'Smartphone']",0.60
P012,Resistance Bands,Set of 5 resistance bands for strength training,19.99,Sports,0.61,70,Sports,Brand L,4.2,2.3,0.26,No,Summer,Canada,"['Strength', 'Sports']",0.91
P013,Throw Blanket,Soft and cozy throw blanket for the couch,44.99,Home,0.67,25,Home,Brand M,4.7,2.1,0.21,No,Winter,India,"['Blanket', 'Couch']",0.26
P014,Sunglasses,Polarized sunglasses with UV protection,89.99,Accessories,0.59,30,Accessories,Brand N,4.2,2.4,0.74,No,Summer,USA,"['Sunglasses', 'UV']",0.60
P015,Portable Speaker,Waterproof portable speaker with 12-hour battery life,79.99,Electronics,0.88,35,Electronics,Brand O,4.2,2.3,0.26,No,Summer,Canada,"['Speaker', 'Portable']",0.91
P016,Hiking Boots,Waterproof hiking boots with ankle support,119.99,Sports,0.64,20,Sports,Brand P,4.2,2.4,0.74,No,Summer,Canada,"['Boots', 'Hiking']",0.91
P017,Food Processor,Multi-function food processor for chopping and slicing,89.99,Home,0.53,15,Home,Brand Q,4.7,2.5,0.68,No,Winter,India,"['Food', 'Kitchen']",0.26
P018,Wallet,RFID-blocking leather wallet with multiple card slots,49.99,Accessories,0.57,40,Accessories,Brand R,4.2,2.3,0.26,No,Summer,Canada,"['Wallet', 'Accessories']",0.91
P019,Tablet Stand,Adjustable tablet stand with non-slip base,29.99,Electronics,0.60,50,Electronics,Brand S,4.2,2.4,0.74,Yes,Spring,Canada,"['Tablet', 'Stand']",0.60
P020,Jump Rope,Adjustable jump rope with weighted handles,14.99,Sports,0.55,80,Sports,Brand T,4.2,2.3,0.26,No,Summer,Canada,"['Jump', 'Rope']",0.91
